Date,Scheme Name,ISIN,NAV
14-09-2015,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.58
14-09-2015,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.6699
14-09-2015,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.96
14-09-2015,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,152.632
14-09-2015,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.64
14-09-2015,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,323.059
14-09-2015,HSBC Large Cap Fund - Regular Growth,INF336L01016,143.1998
14-09-2015,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.1958
14-09-2015,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.145
14-09-2015,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.1321
14-09-2015,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.5514
14-09-2015,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,159.3474
14-09-2015,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.29
14-09-2015,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.663
15-09-2015,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.47
15-09-2015,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.5243
15-09-2015,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.83
15-09-2015,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,151.453
15-09-2015,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.55
15-09-2015,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,320.012
15-09-2015,HSBC Large Cap Fund - Regular Growth,INF336L01016,142.4724
15-09-2015,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,51.9494
15-09-2015,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.007
15-09-2015,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.9382
15-09-2015,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.429
15-09-2015,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,158.2704
15-09-2015,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,59.86
15-09-2015,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,86.8915
16-09-2015,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.56
16-09-2015,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.6925
16-09-2015,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.89
